Integral Name,Class,Ra Obj,Dec Obj,Integral Alt Names,Maxi Name,Maxi ID,Swift Name,Swift ID,Fermi Name,Fermi ID,Swift Weak
3EG J2020-1545,1700,305.0,-15.8,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2CG 078+01,1700,305.0,40.416668,"1CG 078+01, 2EG J2020+4026, 3EG J2020+4017, GeV J2020+4023, GRO J2019+40",noMaxi,noMaxi,PSR J2021+4026,PSRJ2021p4026,noFermi,noFermi,yes
IRAS F20181-2244,7106,305.26718,-22.59064,"[VV96] J202104.1-223525, RX J202103-22345",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20216+4359,7106,305.4504,44.00889,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3EG J2022+4317,1700,305.5,43.3,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
MRC 2019+098,7104,305.53503,10.02,"[VV96] J202208.4+100112, RX J2022.1+1001, 2E 2019.7+0951, QSO B2019+0951, 3C 411, PKS J2022+1001",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20231+5302,9999,305.774,53.036,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
V404 Cyg,32768,306.01592999999997,33.867195,,GS 2023+338,J2024+338,V404 Cyg,V404Cyg,noFermi,noFermi,yes
QSO B2022-077,7200,306.4194,-7.597972,"2EG J2023-0836, 3EG J2025-0744, GeV J2024-0812, PKS J2025-0735",noMaxi,noMaxi,PKS 2023-07,PKS2023-07,noFermi,noFermi,yes
GeV J2026+4124,1700,306.625,41.416668,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2EG J2027+1054,1700,306.775,10.916667,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2EG J2026+3610,1700,307.0,34.5,3EG J2027+3429,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20286+2544,7106,307.14542,25.73325,"MCG+04-48-002, LEDA 64775, MCG+04-48-002 possibly interacting with NGC 6921",noMaxi,noMaxi,MCG +04-48-002,MCGp04-48-002,noFermi,noFermi,yes
IGR J20293+5647,9999,307.322,56.795,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
RX J2030.5+4751,1300,307.62854,47.864082,"BD+47 3129, SAO 49725, 1RXS J203032.8+475200",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 2028+42,1500,307.75,43.0,1H 2018+439,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20310+3835,9999,307.755,38.576,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
EXO 2030+375,1316,308.0633200000001,37.6375,"V* V2246 Cyg, 1RXS J203215.8+373817",EXO 2030+375,J2032+376,EXO 2030+375,EXO2030p375,EXO 2030+375,exo2030,no
Cyg X-3,1230,308.10742,40.95775,"V* V1521 Cyg, 1H 2030+407, 1RXS J203226.2+405725, 2E 2030.5+4047, 3A 2030+407, 4U 2030+40, RX J2032.304057",Cyg X-3,J2032+409,Cyg X-3,CygX-3,noFermi,noFermi,no
NGC6926,7000,308.272,-2.0269999999999997,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2033.4+2147,7200,308.393,21.807,4C 21.55,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2EG J2033+4112,1700,308.4,41.316666,"3EG J2033+4118, GRO J2032+40",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IGR J20344+3913,1000,308.61,39.22,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3EG J2034-3110,1700,308.73,-31.18,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3EG J2035+4441,1700,308.75,44.7,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
2EG J2039+1131,1700,308.84167,10.935,"QSO B2032+107, 2E 2032.9+1045, 3EG J2036+1132, GRO J2039+11, PKS J2035+1056",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
GeV J2035+4214,1700,308.85,42.25,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
SWIFT J2037.2+4151,9999,309.27292,41.834915,2MASS 20370560+415005,noMaxi,noMaxi,SWIFT J2037.2+4151,SWIFTJ2037.2p4151,noFermi,noFermi,yes
IGR J20413+3210,9999,310.384,32.219,,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4C 74.26,7204,310.6549,75.13403000000002,[VV96] J204237.3+750802,4C +74.26,J2042+751,4C 74.26,4C74.26,noFermi,noFermi,yes
SWIFT J2044.0+2832,7104,311.022,28.555,RX J2044.0+2833,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
Mrk 509,7105,311.04068,-10.723528,"[VV96] J204409.7-104324, 1H 2041-108, 1RXS J204409.9-104330, 3A 2041-107, IRAS F20414-1054, QSO B2041-109, QSO B2041-1054, RX J2",Mrk 509,J2044-107,Mrk 509,Mrk509,noFermi,noFermi,yes
IGR J20450+7530,7104,311.14337,75.53303000000002,2MASX J20443451+7531588,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
3EG J2046+0933,1700,311.5,9.6,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
LEDA 166692,7106,312.0746,19.615557,IRAS F20460+1925,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
4U 2048+44,1500,312.75,44.6,"1H 2105+460, 3A 2048+443",noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
IC 5063,7106,313.00842,-57.06919499999999,"IRAS F20482-5715, PKS J2052-5704",noMaxi,noMaxi,IC 5063,IC5063,noFermi,noFermi,yes
SNR 074.0-08.5,1500,313.0583200000001,31.278889000000003,"1H 2050+310, 4U 2046+31, Cyg Loop, CyX X-5",Cyg Loop,J2051+306,noSwift,noSwift,noFermi,noFermi,noSwift
2CG 095+04,1700,313.075,55.2,IRAS 21147+5459,noMaxi,noMaxi,2CG 095+04,2CG095p04,noFermi,noFermi,yes
IGR J20526-4320,9999,313.161,-43.345,-,noMaxi,noMaxi,noSwift,noSwift,noFermi,noFermi,noSwift
